text,choose_one,class_label
i gained 3 followers in the last week  you? know your stats and grow with ,Not Relevant,0
how the west was burned  thousands of wildfires ablaze in california alone ,Relevant,1
building the perfect tracklist to life leave the streets ablaze,Not Relevant,0
check these out       nsfw,Not Relevant,0
beware world ablaze sierra leone  amp  guap ,Not Relevant,0
burning man ablaze! by turban diva  via ,Not Relevant,0
first night with retainers in  it's quite weird  better get used to it  i have to wear them every single night for the next year at least ,Not Relevant,0
not a diss song  people will take 1 thing and run with it  smh it's an eye opener though  he is about 2 set the game ablaze ,Not Relevant,0
deputies  man shot before brighton home set ablaze ,Relevant,1
"man wife get six years jail for setting ablaze niece ",Relevant,1
rape victim dies as she sets herself ablaze  a 16 year old girl died of burn injuries as she set herself ablaze  _ ,Relevant,1
santa cruz     head of the st elizabeth police superintendent lanford salmon has r        ,Not Relevant,0
police  arsonist deliberately set black church in north carolina ablaze ,Relevant,1
noches el bestia ' happy to see my teammates and training hard ?? goodnight gunners ?????? ,Not Relevant,0
 kurds trampling on turkmen flag later set it ablaze while others vandalized offices of turkmen front in  diyala ,Relevant,1
truck ablaze   r21  voortrekker ave  outside or tambo intl  cargo section  ,Relevant,1
set our hearts ablaze and every city was a gift and every skyline was like a kiss upon the lips at  _ ,Not Relevant,0
they sky was ablaze tonight in los angeles  i'm expecting ig and fb to be filled with sunset shots if i know my peeps!!,Not Relevant,0
how the west was burned  thousands of wildfires ablaze in  california alone   climate  energy ,Relevant,1
setting myself ablaze ,Not Relevant,0
revel in yours wmv videos by means of mac farewell ablaze wmv en route to dvd  gtxrwm,Not Relevant,0
progressive greetings! in about a month students would have set their pens ablaze in the torch publications'    ,Not Relevant,0
 the bins in front of the field by my house wer set ablaze the other day flames went rite up the hydro pole wonder if it was him,Not Relevant,0
 nowplaying alfons   ablaze 2015 on puls radio  pulsradio ,Not Relevant,0
rene ablaze  amp  jacinta   secret 2k13 (fallen skies edit)   mar 30 2013  ,Not Relevant,0
'burning rahm'  let's hope city hall builds a giant wooden mayoral effigy 100 feet tall  amp  sets it ablaze   ,Not Relevant,0
 steve these fires out here are something else! california is a tinderbox   and this clown was setting my 'hood ablaze ,Relevant,1
 nowplaying  rene ablaze  amp  ian buff   magnitude    edm,Not Relevant,0
 huge fire at wholesale markets ablaze ,Relevant,1
  hurt but her eyes ablaze with insulted anger ,Not Relevant,0
 what time does your talk go until? i don't know if i can make it due to work ,Not Relevant,0
'i can't have kids cuz i got in a bicycle accident  amp  split my testicles  it's impossible for me to have kids' michael you are the father,Not Relevant,0
accident on i 24 w  nashvilletraffic  traffic moving 8m slower than usual  ,Relevant,1
accident center lane blocked in  santaclara on us 101 nb before great america pkwy  bayarea  traffic ,Relevant,1
accident cleared in  paturnpike on patp eb between pa 18 and cranberry slow back to  traffic ,Relevant,1
 had a  personalinjury accident this summer? read our advice  amp  see how a  solicitor can help  otleyhour,Not Relevant,0
just got to love burning your self on a damn curling wand    i swear someone needs to take it away from me cuase i'm just accident prone ,Not Relevant,0
 stlouis  caraccidentlawyer speeding among top causes of teen accidents   car accident tee  _,Not Relevant,0
i hate badging shit in accident,Not Relevant,0
reported motor vehicle accident in curry on herman rd near stephenson involving an overturned vehicle  please use    ,Relevant,1
bigrigradio live accident awareness,Relevant,1
 3  car recorder zeroedge   dual lens car camera vehicle traffic driving history accident camcorder  large re    ,Not Relevant,0
i 77 mile marker 31 south mooresville  iredell vehicle accident ramp closed at 8 6 1 18 pm,Relevant,1
coincidence or  curse? still  unresolved secrets from past   accident,Not Relevant,0
rt  sleeping pills double your risk of a car accident ,Not Relevant,0
'by accident' they knew what was gon happen ,Not Relevant,0
  accident on a27 near lewes is it kingston roundabout rather than a283,Relevant,1
the pastor was not in the scene of the accident      who was the owner of the range rover ?,Relevant,1
 if you pretend to feel a certain way the feeling can become genuine all by accident   hei (darker than black)  manga  anime,Not Relevant,0
for legal and medical referral service  call us at  1 800 465 87332  accident  slipandfall  dogbite,Not Relevant,0
"mom  'we didn't get home as fast as we wished'  me  'why is that?' mom  'there was an accident and some truck spilt mayonnaise all over ??????",Not Relevant,0
i was in a horrible car accident this past sunday  i'm finally able to get around  thank you god??,Relevant,1
 truckcrash overturns on  fortworth interstate  click here if you've been in a crash gt ,Relevant,1
accident in  ashville on us 23 sb before sr 752  traffic ,Relevant,1
there's a construction guy working on the disney store and he has huge gauges in his ears ??    that is a bloody accident waiting to happen,Not Relevant,0
  i feel like i'm going to do it on accident  teesha is gonna come out??,Not Relevant,0
on the  m42 northbound between junctions j3 and j3a there are currently delays of 10 mins due to an accident c    ,Relevant,1
  so if i say that i met her by accident this week  would you be super jelly dave?  p,Not Relevant,0
carolina accident  motorcyclist dies in i 540 crash with car that crossed median  a motorcycle rider traveling    ,Relevant,1
accident   hit and run   cold at 500 block of se vista ter gresham or  gresham police  pg15000044357  10 35  pdx911,Relevant,1
fyi cad fyi   accident property damage nhs 999 piner rd horndale dr,Relevant,1
rt naayf  first accident in years  turning onto chandanee magu from near mma  taxi rammed into me while i was halfway turned  everyone conf  _,Relevant,1
accident left lane blocked in  manchester on rt 293 nb before eddy rd stop and go traffic back to nh 3a delay of 4 mins  traffic,Relevant,1
 accident property damage  piner rd horndale dr,Relevant,1
fyi cad fyi   accident property damage wpd 1600 s 17th st,Relevant,1
8 6 2015 pm  traffic accident no injury at 2781 willis foreman rd ,Relevant,1
aashiqui actress anu aggarwal on her near fatal accident ,Relevant,1
suffield alberta accident ,Relevant,1
9 mile backup on i 77 south   accident blocking the right 2 lanes at exit 31 langtree rd   consider nc 115 or nc 150 to nc 16 as alternate,Relevant,1
has an accident changed your life? we will help you determine options that can financially support life care plans and on going treatment ,Not Relevant,0
 breaking  there was a deadly motorcycle car accident that happened to  hagerstown today  i'll have more details at 5   whag,Relevant,1
 this happened on accident but i like it ,Not Relevant,0
 were you marinading it or was it an accident?,Not Relevant,0
please donate and spread the word! a training accident left the pole vaulter kira gr _nberg a paraplegic ,Not Relevant,0
only had a car for not even a week and got in a fucking car accident    mfs can't fucking drive  ,Relevant,1
   bahrain police had previously died in a road accident they were not killed by explosion ,Relevant,1
please like and share our new page for our indoor trampoline park aftershock opening this fall!! ,Not Relevant,0
 foi no roh aftershock  las vegas procura no pirate bay que tem,Not Relevant,0
"'the man who can drive himself further once the effort gets painful is the man who will win '  roger bannister",Not Relevant,0
"schoolboy    aftershock (original mix) excision  amp  skism    sexism (far too loud remix) firebeatz schella    dear new    ",Not Relevant,0
'there is no victory at bargain basement prices ' dwight david eisenhower,Not Relevant,0
'when the aftershock happened (nepal) we were the last int'l team still there  in a way we were 1st responders ' chief collins ,Relevant,1
'nobody remembers who came in second ' charles schulz,Not Relevant,0
 im speaking from someone that is using a scuf on xb1 most of them people will end up getting on for ps also ,Not Relevant,0
'the harder the conflict the more glorious the triumph ' thomas paine,Not Relevant,0
 growingupspoiled going clay pigeon shooting and crying because of the 'aftershock',Not Relevant,0
so i guess no one actually wants any free aftershock tc     ,Not Relevant,0
aftershock was the most terrifying best roller coaster i've ever been on   disclaimer  i've been on very few ,Not Relevant,0
aftershock ,Not Relevant,0
stop saying 'i wish' and start saying 'i will'     unknown,Not Relevant,0
i want to go to aftershock in october because it has all the bands i listen to and  nxt! can't afford it yet though   gradschoolapps,Not Relevant,0
'we are still living in the aftershock of hiroshima people are still the scars of history '   edward bond ,Relevant,1
 wisdomwed bonus   5 minute daily habits that could really improve your life  how many do you already do?  lifehacks ,Not Relevant,0
that moment when you get on a scary roller coaster and the guy behind you is just screaming bloody murder ??????  silverwood  aftershock,Not Relevant,0
aftershock    (2010) full   streaming   youtube ,Not Relevant,0
" gt  gt   15 aftershock   protect yourself and profit in the next global financial      book  ",Not Relevant,0
aftershock ,Not Relevant,0
sometimes you face difficulties not because you're doing something wrong but because you're doing something right    joel osteen,Not Relevant,0
'there is no victory at bargain basement prices ' dwight david eisenhower,Not Relevant,0
'the only thing that stands between you and your dream is the will to try and the belief that it is actually possible '   joel brown,Not Relevant,0
praise god that we have ministry that tells it like it is!!!  now  wdyouth  biblestudy ,Not Relevant,0
'remembering that you are going to die is the best way i know to avoid the trap of thinking you have something to lose '    steve jobs,Not Relevant,0
tried orange aftershock today  my life will never be the same,Not Relevant,0
bo2 had by far the best competitive maps imo hope bo3 is the same  invahnwetrust,Not Relevant,0
 i love you bb,Not Relevant,0
brass and copper in cataclysm  amp  aftershock!!! ,Not Relevant,0
 you should be happy i don't use aftershock  that variation counters your play style hard ,Not Relevant,0
aftershock ,Not Relevant,0
aftershock back to school kick off was great  i want to thank everyone for making it possible  what a great night ,Not Relevant,0
aftershock ,Not Relevant,0
people who say it cannot be done should not interrupt those who are doing it     george bernard shaw,Not Relevant,0
'the first man gets the oyster the second man gets the shell ' andrew carnegie,Not Relevant,0
anyone need a p u tonight? i play hybrid slayer ps4 eu  hmu      ,Not Relevant,0
experts in france begin examining airplane debris found on reunion island  french air accident experts o      news,Relevant,1
strict liability in the context of an airplane accident  pilot error is a common component of most aviation cr    ,Relevant,1
 your lifetime odds of dying from an airplane accident are 1 in 8015 ,Not Relevant,0
experts in france begin examining airplane debris found on reunion island  french air accident experts on wedn    ,Relevant,1
when carelessness leads to an aviation accident the victim has the right to seek compensation for damages  ,Relevant,1
 awwww they're on an airplane accident and they're gonna die what a cuties ???? good job!,Relevant,1
 found out about you guys today(regarding the accident on the airplane lol)  amp  became a fan! sending love  amp  support from cali ?,Relevant,1
family members of osama bin laden have died in an airplane accident how ironic ?????? mhmmm gov shit i suspect,Relevant,1
man goes into airplane engine accident   via ,Relevant,1
horrible accident  man died in wings of airplane (29 07 2015) ,Relevant,1
a girl who died in an airplane accident fifteen years ago,Relevant,1
a cessna airplane accident in ocampo coahuila mexico on july 29 2015 killed four men including a state of coahuila government official ,Relevant,1
 horrible  accident man died in wings airplane (29 07 2015)  watchthevideo ,Relevant,1
experts in france begin examining airplane debris found on reunion island  french air accident experts on wednesday  _,Relevant,1
experts in france begin examining airplane debris found on reunion island  french air accident experts on wednesday began examining t   ,Relevant,1
 kca  votejkt48id mbataweel   rip  binladen family members who killed in an airplane's accident,Relevant,1
i almost sent my coworker nudes on accident thank god for airplane mode,Not Relevant,0
  that or they might be killed in an airplane accident in the night a car wreck! politics at it's best ,Not Relevant,0
experts in france begin examining airplane debris found on reunion island  french air accident experts on      mlb,Relevant,1
horrible accident  man died in wings of airplane (29 07 2015) ,Relevant,1
horrible accident    man died in wings of airplane (29 07 2015) ,Relevant,1
usama bin ladins family dead in airplane crash  naturally no accident ,Relevant,1
pilot dies in plane crash at car festival  via   crash  aircraft  airplane  pilot  death  accident  carfest,Relevant,1
 if an accident were to happen on this airplane idc if the rest of my luggage is completely destroyed just please save my makeup,Not Relevant,0
strict liability in the context of an airplane accident   ,Relevant,1
dtn brazil  experts in france begin examining airplane debris found on reunion island  french air accident exp    ,Relevant,1
 update  picture from the penn twp  airplane accident  ,Relevant,1
"see how a judge ruled in this 2009 accident at  jfk airport? involving korean air?    ",Relevant,1
experts in france begin examining airplane debris found on reunion island  french air accident experts on wedn    ,Relevant,1
 i had myself on airplane mode by accident ??,Not Relevant,0
horrible accident man died in wings of    airplane    29 07 2015  wtf you can  t believe your eyes       ,Relevant,1
"  nicole fletcher one of a victim of crashed airplane few times ago    the accident left a little bit trauma for her  although she's    ",Relevant,1
36 years ago today baseball lost one of its greats in an airplane accident  rip captain   yankees  ,Relevant,1
experts in france begin examining airplane debris found on reunion island  french air accident experts on wedn    ,Relevant,1
omg horrible accident man died in wings of airplane  ,Relevant,1
 breakingnews experts in france begin examining airplane debris found on reunion island  french air accident e     ,Relevant,1
" omg! i don't believe this   rip bro  airplane  accident  jetengine  turbojet  boing  g90 ",Relevant,1
experts in france begin examining airplane debris found on reunion island  french air accident experts on wednesday began examining t   ,Relevant,1
experts in france begin examining airplane debris found on reunion island  french air accident experts on wedn     ,Relevant,1
i had a airplane accident ,Relevant,1
my phone looks like it was in a car ship airplane accident  terrible,Not Relevant,0
statistically i'm at more of risk of getting killed by a cop than i am of dying in an airplane accident ,Not Relevant,0
airplane crashes on house in colombia 12 people die in accident ,Relevant,1
the shooting or the airplane accident  ,Relevant,1
could a drone cause an airplane accident? pilots worried about use of drones esp  in close vicinity of airports   ,Relevant,1
early wake up call from my sister begging me to come over  amp  ride w her in the ambulance to the hospital  rodkiai,Relevant,1
twelve feared killed in pakistani air ambulance helicopter crash   reuters   yugvani,Relevant,1
leading emergency services boss welcomes new ambulance charity ,Not Relevant,0
anyone travelling aberystwyth shrewsbury right now there's been an incident  services at a halt just outside shrews  ambulance on scene ,Relevant,1
 i'm dying send an ambulance  ,Not Relevant,0
    it was hella crazy 3 fights an ambulance and a couple mosh pits ??,Relevant,1
 the ambulance isn't even parked well like its nearly on top of someone's car i'm laughing,Not Relevant,0
if i get run over by an ambulance am i lucky?  justsaying  randomthought,Not Relevant,0
 news twelve feared killed in pakistani air ambulance helicopter crash   til_now  dna,Relevant,1
 waiting for an ambulance,Not Relevant,0
 you ok? need a ambulance  hahahah that was good! ,Not Relevant,0
pakistan air ambulance helicopter crash kills nine ,Relevant,1
  nissan are you ok do you need medical assistance i can call an ambulance if you need me to,Not Relevant,0
ems1  ny emts petition for  17 per hour    minimum wage     ems  paramedics  ambulance,Not Relevant,0
 check out what's in my parking lot!! he said that until last year it was an ambulance in st johns  ,Not Relevant,0
when you don't know which way an ambulance is coming from  lt  lt ,Relevant,1
shot 12 times  found dead in cuffs after being involved in a car accident  officers told ambulance not to treat him  ,Relevant,1
 reuters twelve feared killed in pakistani air ambulance helicopter crash ,Relevant,1
 call me a fag and i'm going to call you an ambulance  )  rainbowpower,Not Relevant,0
    this dog thinks he's an ambulance ??????    ,Not Relevant,0
happening now   hatzolah ems ambulance responding with dual sirens and  _ ,Not Relevant,0
new nanotech device will be able to target and destroy blood clots   science,Relevant,1
 want me to send you  some medic supplies from my dad's ambulance?,Not Relevant,0
2 held with heroin in ambulance  ,Relevant,1
twelve feared killed in pakistani air ambulance helicopter crash   worldnews,Relevant,1
twelve feared killed in pakistani air ambulance helicopter crash   worldnews,Relevant,1
what's the police or ambulance number in lesotho? any body know?,Not Relevant,0
  i am surprised we still cannot standardised the clinical practice across the 11 nhs ambulance trust ,Not Relevant,0
why should a helicopter ambulance ride to transfer to a hospital 21 miles away cost  29800?  ,Relevant,1
people who try to j walk while an ambulance is passing    i hate you ,Not Relevant,0
so privileged and proud to wear this uniform ??  nhs  ambulance  gayuk  uniform  proud  privileged  whatsyouremergency ,Not Relevant,0
the episode where trunks annihilated freiza is the cleanest shit ever  he showed that nigga no mercy ,Not Relevant,0
they shall be annihilated and all of their petebests dessicated and laid bare  then you shall kneel before me ,Not Relevant,0
uribe just annihilated that baseball   mets,Not Relevant,0
 hey!sundowns were annihilated in their previous meeting with celtic indeed its an improvement ,Not Relevant,0
  mizzou has annihilated florida the past 2 seasons even ended muschamp's career just can't compete with bama,Not Relevant,0
annihilated abs   ?? ,Relevant,1
cop pulls drunk driver to safety seconds before his car is hit by train    via ,Relevant,1
cop pulls drunk driver to safety seconds before his car is hit by train    via ,Relevant,1
 now in all sincerety do you think the un would move to israel if there was a fraction of a chance of being annihilated?,Not Relevant,0
 to luka  they should all die! all of them! everything annihilated!   alois trancy,Not Relevant,0
 the only 'stage' the drama queen can stand on is a drama stage  amp  certainly never the world stage  he would be annihilated ,Relevant,1
 have a good un fella sorry i won't be there to get annihilated with you  (,Not Relevant,0
cop pulls drunk driver to safety seconds before his car is hit by train    via ,Relevant,1
"  handplacementgoals  bro we annihilated that hashtag this week ",Not Relevant,0
you must be annihilated!,Not Relevant,0
cop pulls drunk driver to safety seconds before his car is hit by train    via ,Relevant,1
boom! your country was just entirely annihilated by a h  _     britain ,Not Relevant,0
 you would have been annihilated so you might as well thank ,Not Relevant,0
one thing for sure god has promised israel will not be annihilated  but   the horror of iran w nukes  ,Not Relevant,0
how do i step outside for 5 seconds and get annihilated  by mosquitoes?,Not Relevant,0
 i guess that's ok for armenians since we've spent most of our history getting annihilated,Relevant,1
day 1 of tryouts went good minus the fact i stopped quickly to get a short ball and annihilated my toenail injury even more,Not Relevant,0
"during the 1960s the oryx a symbol of the arabian peninsula were annihilated by hunters    ",Relevant,1
'if your nature appropriates it love will burn you until you become annihilated in your beloved   '  ,Not Relevant,0
 this is 1 example of y the conservatives annihilated burton v wiimington prkng auth while liberals stood by  amp have done nothing,Relevant,1
"aug 3 1915   kaiserjaegers wiped out   francis joseph's crack regiment annihilated on carso plateau  ",Relevant,1
(to luka) 'they should all die! all of them! everything annihilated!'   alois trancy  ,Not Relevant,0
ready to get annihilated for the bucs game,Relevant,1
  people 'annihilated by last nights weather'    really philip thought you would have forecast that   ,Relevant,1
domain other sophistication be annihilated closely up to the minute feat  zrnf,Not Relevant,0
  i seen judas priest in 2005 when rob came back  scorpions as support  fucking annihilated the place  astonishing gig,Not Relevant,0
officially skipping out on  fantasticfour  fant4stic whatever the hashtag is  it's getting annihilated in reviews  bummer ,Not Relevant,0
they should all die! all of them! everything annihilated!,Relevant,1
 thus explaining why you were all annihilated  but the few or in this case you the only survivor evolved and became godlike,Relevant,1
just completely annihilated cech with paul keegan what a time to be alive,Not Relevant,0
 'who then were annihilated by the legion itself  the survivors of the imperfect hybrid project quickly formed a new secret cell,Not Relevant,0
 exactly  that's why the lesnar cena match from summerslam last year was so great because brock annihilated a guy who's,Not Relevant,0
cop pulls drunk driver to safety seconds before his car is hit by train    via ,Relevant,1
brooo he just got annihilated ,Not Relevant,0
"annihilated in damascus  syrian army grinds    alloosh and his gang into the manure pile ",Relevant,1
 ok i wasn't completely forthright i may have also been in a food coma bc of the kebab tahini pickles i also annihilated w fries,Not Relevant,0
 he was probably annihilated needed his dd,Not Relevant,0
 gmcr no longe rgreen mountain now red mountain   stock annihilated after hours,Not Relevant,0
a fun filled happy hour at simmons bar in camden with this handsome one ?? (i got annihilated apart from this game) ,Not Relevant,0
juanny beisbol sr  annihilated that ball   lgm,Not Relevant,0
 maybe we should call israel and tell them we're sorry are pres has sold them down the river to annihilation ,Not Relevant,0
evildead   annihilation of civilization ,Not Relevant,0
please sign  amp  rt to save  saltriverwildhorses  ,Relevant,1
"allied plans for the annihilation of the german people   louis nizer   very interesting   ",Not Relevant,0
annihilating quarterstaff of annihilation,Relevant,1
world annihilation vs self transformation  aliens attack to exterminate humans ,Not Relevant,0
 starmade   stardate 3   planetary annihilation    via ,Relevant,1
please share and sign this petition to save wild horses in arizona  ,Not Relevant,0
 can you please sign and share this petition to save wild horses in arizona   ????,Not Relevant,0
 please check into salt river horses help stop the annihilation about to happen without 54000 more signatures change  org thx,Not Relevant,0
new! are souls punished with annihilation? ,Not Relevant,0
are souls punished with annihilation?  ,Not Relevant,0
  not to mention a major contributor to the annihilation of israel,Relevant,1
   latest updates on the salt river wild horse round up     via ,Not Relevant,0
i reject the laws of the misguided false prophets imprison nations fueling self annihilation,Not Relevant,0
"the annihilation of jeb christie  amp  kasich is less than 24 hours away   please god allow me at least one more full day   ",Not Relevant,0
 we need help horses will die! please rt  amp  sign petition! take a stand  amp  be a voice for them!  gilbert23 ,Not Relevant,0
 out of the silent planet in print and annihilation on audio ,Not Relevant,0
rt sign urgent stop the annihilation of the salt river wild horses!!!  savewildhorses  saltriverhorses ,Relevant,1
 i do     i only get the iced annihilation??,Not Relevant,0
" under sonia gandhi is like pakistan  every defeat is treated like a victory total annihilation only answer ",Not Relevant,0
hey  az  sign this petition to save the  wildhorses at  tantonationalforest! a  sing a long is in order  ,Not Relevant,0
stop the annihilation of the salt river wild horses!  via ,Relevant,1
 and he's the current nova in the bookslast i checked  he was tied into the books in 2011 after rider died during annihilation,Not Relevant,0
please sign  amp  rt to save  saltriverwildhorses  ,Not Relevant,0
stop the annihilation of the salt river wild horses!!!  via ,Not Relevant,0
thanks!!!!!  dante    )  do join us by following the  zone   johnny ,Not Relevant,0
world annihilation vs self transformation  aliens attack to exterminate humans ,Relevant,1
i'm gonna fight taylor as soon as i get there ,Not Relevant,0
ohh no fukurodani didn't survive the apocalypse bokuto feels horrible  my poor boy my ppor child,Relevant,1
will there be another jocelyn birthday apocalypse,Not Relevant,0
 that almost feels like the si signs of the apocalypse   lol ,Not Relevant,0
i liked a  video from   futuristic house (built to survive the apocalypse!)   minecraft,Not Relevant,0
rt  janenelson097  rt stephenscifi  adaptation watch  charlie human's apocalypse now now optioned for film  sciencefiction   _,Not Relevant,0
apocalypse please,Not Relevant,0
i liked a  video  minecraft  night lucky block mod (bob apocalypse wither 2 0  amp  more!) mod showcase,Not Relevant,0
another hour! it's august 05 2015 at 08 02pm here's red rover zombie apocalypse 2014!   internetradio  collegeradi  _,Relevant,1
  i feel like me doing a pull up is one of the stages of the apocalypse ,Not Relevant,0
she's kinda hot played on the radio today  what's next? disease to all? the apocalypse has started everyone  be careful ,Not Relevant,0
 askconnor there's a zombie apocalypse  the item to your right is your weapon  you're either screwed or you're gonna live ,Not Relevant,0
but if it's the apocalypse lol gf m8,Not Relevant,0
i know it's a question of interpretation but this is a sign of the apocalypse   i called it ,Relevant,1
it's an apocalypse,Not Relevant,0
julie   r is the apocalypse version of romeo   juliet  warmbodies,Not Relevant,0
the apocalypse is upon us,Not Relevant,0
 i'm excited for apocalypse really dig how the x men franchise is going i like the 'event' theme a lot ,Not Relevant,0
 sounds like a terrible time  i'll be right there ,Not Relevant,0
"apocalypse no! why artists should not go into the  fukushima exclusion zone    nuclear  ura",Relevant,1
and so it begins   day one of the snow apocalypse,Relevant,1
"rt  our_mother_mary  short reading  apocalypse 21 1023   in the spirit the angel took me to the top of an enormous high mountain and      _",Not Relevant,0
candylit  imagine sarumi in a zombie apocalypse fighting back to back heart to heart conversations over the    ,Not Relevant,0
rt  zonewolf123  i liked a youtube video  minecraft  night lucky block mod (bob apocalypse wither 2 0  amp  more!) mo  _,Not Relevant,0
southern prepper fiction sharecropping the apocalypse   apocalyptic  doomsday  prepper  book  reading,Not Relevant,0
and that's because on my planet it's the lone audience of the apocalypse!,Not Relevant,0
dad bought a dvd that looks like a science doc on the front but i read the back and it's actually about the impending biblical apocalypse,Relevant,1
 honestly he could say an apocalypse is coming and i would be exited hes so enthusiastic about everything,Not Relevant,0
 it is indeed  if the apocalypse comes this week i know where i'll be  ),Not Relevant,0
go look at grizzly peak right now    it looks like the beginning of an dystopian apocalypse movie,Not Relevant,0
also my other nephew is proof that fat babies are going to save us from the apocalypse ,Not Relevant,0
my niece just asked me 'would you be scared if there was an apocalypse here?' ????,Not Relevant,0
i liked a  video  zombie apocalypse  the rescue,Not Relevant,0
i added a video to a  playlist  futuristic house (built to survive the apocalypse!)   minecraft maps,Not Relevant,0
there's a storm over cairo in the latest 'x men apocalypse' set photo  via ,Relevant,1
 live now  princes of the apocalypse   d amp d encounters  meerkat ,Not Relevant,0
i liked a  video  minecraft  night lucky block mod (bob apocalypse wither 2 0  amp  more!) mod showcase,Not Relevant,0
minecraft  night lucky block mod (bob apocalypse wither 2 0  amp  more!) mod showcase popularmmos   via ,Not Relevant,0
shot through the heart xv  you are going to totally give love a bad name with this heart pierc  ,Not Relevant,0
rt  geek_apocalypse  4pm gmt  hesse plays dark souls 2 day 9     etcpb,Not Relevant,0
i know where to go when the zombies take over!! ,Not Relevant,0
omg zombie apocalypse among my students     ___ ,Not Relevant,0
the latest from  reveals  storm is a queen in  apocalypse   ,Relevant,1
i liked a  video  minecraft  night lucky block mod (bob apocalypse wither 2 0  amp  more!) mod showcase,Not Relevant,0
shadow boxing the apocalypse,Relevant,1
"short reading  apocalypse 21 1023   in the spirit the angel took me to the top of an enormous high mountain and    ",Relevant,1
enjoyed live action attack on titan but every time i see posters i'm reminded how freshly clean and coiffed everyone is in the apocalypse ,Not Relevant,0
i liked a  video  minecraft  night lucky block mod (bob apocalypse wither 2 0  amp  more!) mod showcase,Not Relevant,0
 pbban (temporary 300) avysss    do not kill   flags only   fast xp' for reason,Not Relevant,0
 pbban (temporary 300) russaky89    do not kill   flags only   fast xp' for reason,Not Relevant,0
((official vid))  doublecups  gt  gt    gt  gt   prod   gt  gt   armageddon,Not Relevant,0
universal order of armageddon ,Not Relevant,0
ouvindo peace love  amp  armageddon,Not Relevant,0
best movie you've ever seen?   armageddon  ,Not Relevant,0
red faction  armageddon  (microsoft xbox 360 2011)   full read by ebay  ,Not Relevant,0
 you already know how this shit goes  world series or armageddon ,Not Relevant,0
rt   love  truelove  romance lith   voodoo  seduction  astrology  rtrrt  lotz 9 11  apocalypse  armageddon  1008pla  _,Not Relevant,0
